0000	0	00	0	REG00	00C5	197
0000	0	05	5	REG05	0002	2
0000	0	06	6	REG06	0020	32
0000	0	07	7	REG07	0007	7
0000	0	08	8	REG08	0005	5
0000	0	09	9	REG09	0500	1280
0000	0	0B	11	REG0B	0000	0
0000	0	0C	12	REG0C	0000	0
0000	0	0D	13	REG0D	0060	96
0000	0	10	16	REG10	EF3C	61244
0000	0	12	18	REG12	0000	0
0000	0	13	19	REG13	051B	1307
0000	0	14	20	REG14	68F5	26869
0000	0	19	25	REG19	8E7B	36475
0000	0	1A	26	REG1A	058E	1422
0000	0	1B	27	REG1B	0035	53
0000	0	1C	28	REG1C	1500	5376
0000	0	1D	29	REG1D	04D0	1232
0000	0	1E	30	REG1E	0000	0
0000	0	1F	31	REG1F	0000	0
0000	0	23	35	REG23	51BF	20927
0000	0	24	36	REG24	260B	9739
0000	0	25	37	REG25	047F	1151
0000	0	26	38	REG26	0403	1027
0000	0	2A	42	REG2A	0015	21
0000	0	2B	43	REG2B	190A	6410
0000	0	2C	44	REG2C	0811	2065
0000	0	34	52	REG34	0032	50
0000	0	35	53	REG35	62B6	25270
0000	0	36	54	REG36	0AA0	2720
0000	0	37	55	REG37	8080	32896
0000	0	38	56	REG38	00A9	169
0000	0	39	57	REG39	00D7	215
0000	0	3A	58	REG3A	03F6	1014
0000	0	3B	59	REG3B	050A	1290
0000	0	3C	60	REG3C	0068	104
0000	0	3D	61	REG3D	0002	2
0000	0	44	68	REG44	0004	4
0000	0	46	70	REG46	000A	10
0000	0	47	71	REG47	C4B5	50357
0000	0	48	72	REG48	0124	292
0000	0	49	73	REG49	034F	847
0000	0	4A	74	REG4A	0124	292
0000	0	4B	75	REG4B	8B4F	35663
0000	0	4C	76	REG4C	809D	32925
0000	0	4D	77	REG4D	AACC	43724
0000	0	4E	78	REG4E	0000	0
0000	0	55	85	REG55	0501	1281
0000	0	56	86	REG56	014F	335
0000	0	57	87	REG57	0407	1031
0000	0	58	88	REG58	016D	365
0000	0	59	89	REG59	00F0	240
0000	0	5A	90	REG5A	0084	132
0000	0	5B	91	REG5B	6555	25941
0000	0	60	96	REG60	0000	0
0000	0	61	97	REG61	3DD3	15827
0000	0	62	98	REG62	1000	4096
0000	0	63	99	REG63	0000	0
0000	0	99	153	REG99	0000	0
0000	0	9A	154	REG9A	3F00	16128
0000	0	9B	155	REG9B	4000	16384
0000	0	9C	156	REG9C	0377	887
0000	0	9D	157	REG9D	0033	51
0000	0	9E	158	REG9E	00E0	224
0000	0	A0	160	REGA0	0000	0
0000	0	A1	161	REGA1	0043	67
0000	0	A2	162	REGA2	0000	0
0000	0	A3	163	REGA3	0100	256
0000	0	A5	165	REGA5	0000	0
0000	0	A6	166	REGA6	0000	0
0000	0	A7	167	REGA7	00F8	248
0000	0	A8	168	REGA8	0821	2081
0000	0	AA	170	REGAA	0081	129
0000	0	AB	171	REGAB	9100	37120
0000	0	AC	172	REGAC	2000	8192
0000	0	AD	173	REGAD	0020	32
0000	0	AE	174	REGAE	01F0	496
0000	0	AF	175	REGAF	0300	768
0000	0	B0	176	REGB0	0000	0
0000	0	C2	194	REGC2	0000	0
0000	0	C3	195	REGC3	46FD	18173
0000	0	C4	196	REGC4	4D95	19861
0000	0	C5	197	REGC5	542D	21549
0000	0	C6	198	REGC6	0698	1688
0000	0	C7	199	REGC7	D698	54936
0000	0	E4	228	REGE4	0000	0
0000	0	E6	230	REGE6	0080	128
0000	0	E7	231	REGE7	0001	1
0000	0	E8	232	REGE8	8500	34048
0000	0	E9	233	REGE9	0008	8
0000	0	EB	235	REGEB	0700	1792
0000	0	EC	236	REGEC	E010	57360
0000	0	ED	237	REGED	10F5	4341
END
