Time(millis);b_voltage;b_current
74433;758.000;383.000
74683;758.000;385.000
74933;758.000;385.000
75183;758.000;377.000
75439;757.000;384.000
75694;757.000;384.000
75950;758.000;386.000
76206;758.000;388.000
76462;758.000;382.000
76718;758.000;382.000
76974;758.000;383.000
77229;758.000;387.000
77485;758.000;385.000
77741;757.000;387.000
77997;758.000;384.000
78253;758.000;382.000
78509;758.000;386.000
78765;757.000;385.000
79020;757.000;383.000
79276;757.000;379.000
79532;758.000;385.000
79788;763.000;381.000
80044;762.000;387.000
80300;759.000;388.000
80555;760.000;387.000
80811;760.000;384.000
81067;761.000;387.000
81323;762.000;385.000
81579;762.000;386.000
81835;761.000;385.000
82089;760.000;383.000
82339;760.000;382.000
82589;760.000;385.000
82839;759.000;382.000
83095;759.000;386.000
83350;760.000;381.000
83600;759.000;385.000
83850;760.000;388.000
84100;758.000;387.000
84356;758.000;385.000
84611;758.000;381.000
84867;759.000;382.000
85123;758.000;384.000
85379;758.000;385.000
85635;759.000;390.000
85891;759.000;382.000
86146;755.000;381.000
86402;754.000;384.000
86658;754.000;383.000
86914;754.000;387.000
87170;754.000;382.000
87426;754.000;390.000
87681;754.000;386.000
87937;753.000;382.000
88193;753.000;380.000
88449;754.000;384.000
88705;753.000;381.000
88961;753.000;386.000
89217;753.000;384.000
89472;753.000;382.000
89728;754.000;384.000
89984;754.000;381.000
90240;754.000;385.000
90496;753.000;384.000
90752;753.000;381.000
91006;753.000;388.000
91256;753.000;381.000
91506;753.000;387.000
91756;753.000;385.000
92012;752.000;384.000
92267;752.000;381.000
92517;752.000;382.000
92767;751.000;382.000
93017;751.000;385.000
93272;751.000;385.000
93528;752.000;386.000
93784;752.000;383.000
94040;753.000;382.000
94296;752.000;389.000
94552;751.000;382.000
94808;751.000;381.000
95063;750.000;387.000
95319;750.000;387.000
95575;750.000;383.000
95831;750.000;384.000
96087;751.000;383.000
96343;750.000;383.000
96598;750.000;386.000
96854;751.000;380.000
97110;750.000;384.000
97366;753.000;387.000
97622;753.000;384.000
