x-axis,1,2,4,F1
second,Volt,Volt,Volt,Volt
-1.750000E-06,+4.966629946633E+00,-442.446670175E-03,-470.713002054E-03,-28.228759766E-03
-1.747500E-06,+5.026695901877E+00,-450.298429030E-03,-441.268906347E-03,+9.063720703E-03
-1.745000E-06,+4.951711604808E+00,-412.609986524E-03,-438.520790747E-03,-25.848388672E-03
-1.742500E-06,+5.141331581166E+00,-373.743780190E-03,-487.594283593E-03,-113.800048828E-03
-1.740000E-06,+5.039651303989E+00,-459.720539657E-03,-438.520790747E-03,+21.209716797E-03
-1.737500E-06,+5.042399419588E+00,-387.484358187E-03,-455.402072286E-03,-67.840576172E-03
-1.735000E-06,+5.130731706711E+00,-476.209233253E-03,-405.543403554E-03,+70.648193359E-03
-1.732500E-06,+4.831579694321E+00,-414.572926238E-03,-537.452952325E-03,-122.802734375E-03
-1.730000E-06,+4.916378689959E+00,-369.425312820E-03,-538.238128211E-03,-168.731689453E-03
-1.727500E-06,+5.051036354329E+00,-310.537121404E-03,-426.350564521E-03,-115.753173828E-03
-1.725000E-06,+5.145650048536E+00,-364.714257506E-03,-531.171545241E-03,-166.412353516E-03
-1.722500E-06,+4.949356077152E+00,-360.003202193E-03,-471.498177940E-03,-111.419677734E-03
-1.720000E-06,+4.977622409031E+00,-347.440388025E-03,-444.017021946E-03,-96.527099609E-03
-1.717500E-06,+4.976444645203E+00,-280.307849811E-03,-539.808479982E-03,-259.399414063E-03
-1.715000E-06,+4.977622409031E+00,-428.313504235E-03,-380.417775217E-03,+47.882080078E-03
-1.712500E-06,+4.946607961552E+00,-321.529583802E-03,-564.934108319E-03,-243.316650391E-03
-1.710000E-06,+5.154286983277E+00,-483.275816223E-03,-564.934108319E-03,-81.573486328E-03
-1.707500E-06,+4.934437735326E+00,-451.476192859E-03,-486.416519765E-03,-34.881591797E-03
-1.705000E-06,+5.013740499766E+00,-493.483102735E-03,-546.875062952E-03,-53.314208984E-03
-1.702500E-06,+5.089117384778E+00,-295.618779579E-03,-470.320414111E-03,-174.621582031E-03
-1.700000E-06,+4.946215373609E+00,-363.929081621E-03,-487.201695651E-03,-123.199462891E-03
-1.697500E-06,+4.883793890709E+00,-330.166518543E-03,-507.616268675E-03,-177.368164063E-03
-1.695000E-06,+5.158998038591E+00,-357.647674536E-03,-431.454207777E-03,-73.760986328E-03
-1.692500E-06,+5.051036354329E+00,-434.202323377E-03,-488.379459479E-03,-54.107666016E-03
-1.690000E-06,+5.001177685597E+00,-330.166518543E-03,-385.128830530E-03,-54.901123047E-03
-1.687500E-06,+4.939933966525E+00,-357.255086594E-03,-419.676569494E-03,-62.377929688E-03
-1.685000E-06,+4.952496780694E+00,-339.588629169E-03,-551.586118265E-03,-211.944580078E-03
-1.682500E-06,+4.936793262983E+00,-410.254458868E-03,-400.439760298E-03,+9.857177734E-03
-1.680000E-06,+5.012170147995E+00,-347.440388025E-03,-414.965514181E-03,-67.474365234E-03
-1.677500E-06,+4.932082207670E+00,-334.484985913E-03,-575.141394831E-03,-240.570068359E-03
-1.675000E-06,+4.867697785055E+00,-467.572298512E-03,-425.957976579E-03,+41.595458984E-03
-1.672500E-06,+5.091865500377E+00,-297.581719293E-03,-450.298429030E-03,-152.648925781E-03
-1.670000E-06,+5.005888740911E+00,-352.936619223E-03,-472.283353825E-03,-119.293212890E-03
-1.667500E-06,+4.920304569387E+00,-425.172800693E-03,-371.388252534E-03,+53.802490234E-03
-1.665000E-06,+5.068702811754E+00,-364.714257506E-03,-455.009484344E-03,-90.240478516E-03
-1.662500E-06,+5.087154445064E+00,-403.580463841E-03,-399.261996470E-03,+4.364013672E-03
-1.660000E-06,+5.073413867067E+00,-363.929081621E-03,-419.676569494E-03,-55.694580078E-03
-1.657500E-06,+5.107176430145E+00,-319.959232031E-03,-375.314131961E-03,-55.328369141E-03
-1.655000E-06,+5.128376179055E+00,-357.647674536E-03,-252.434105874E-03,+105.194091797E-03
-1.652500E-06,+5.039258716046E+00,-406.328579440E-03,-498.979333934E-03,-92.620849610E-03
-1.650000E-06,+5.039651303989E+00,-308.966769633E-03,-341.158980940E-03,-32.135009765E-03
-1.647500E-06,+5.076947158552E+00,+180.197807058E-03,-209.642020113E-03,-389.739990234E-03
-1.645000E-06,+5.069487987639E+00,+911.981732380E-03,+189.619917684E-03,-722.259521484E-03
-1.642500E-06,+4.928941504127E+00,+3.215687780552E+00,+1.189148819976E+00,-1.783538818359E+00
-1.640000E-06,+4.881045775110E+00,+6.619425244365E+00,+2.387327221309E+00,-1.984344482422E+00
-1.637500E-06,+5.097361731576E+00,+9.281564084288E+00,+3.283605494653E+00,-1.984344482422E+00
