x-axis,1,2,4,F1
second,Volt,Volt,Volt,Volt
-2.500000E-06,+4.949748665094E+00,+5.080402009189E+00,+5.080402009189E+00,+3.051758E-06
-2.497500E-06,+4.949748665094E+00,+5.080402009189E+00,+5.080402009189E+00,+3.051758E-06
-2.495000E-06,+4.949748665094E+00,+5.080402009189E+00,+5.060301506892E+00,-20.095825495E-03
-2.492500E-06,+4.849246151745E+00,+5.060301506892E+00,+5.080402009189E+00,+20.101929010E-03
-2.490000E-06,+5.150753691792E+00,+5.060301506892E+00,+5.080402009189E+00,+20.101929010E-03
-2.487500E-06,+4.849246151745E+00,+5.070351758040E+00,+5.080402009189E+00,+10.052490384E-03
-2.485000E-06,+4.748743638396E+00,+5.060301506892E+00,+5.080402009189E+00,+20.101929010E-03
-2.482500E-06,+5.150753691792E+00,+5.070351758041E+00,+5.060301506892E+00,-10.046386868E-03
-2.480000E-06,+4.949748665094E+00,+5.060301506892E+00,+5.080402009189E+00,+20.101929010E-03
-2.477500E-06,+4.849246151745E+00,+5.070351758041E+00,+5.080402009189E+00,+10.052490384E-03
-2.475000E-06,+5.351758718491E+00,+5.080402009189E+00,+5.060301506892E+00,-20.095825495E-03
-2.472500E-06,+4.949748665094E+00,+5.070351758041E+00,+5.080402009189E+00,+10.052490384E-03
-2.470000E-06,+4.949748665094E+00,+5.080402009189E+00,+5.080402009189E+00,+3.051758E-06
-2.467500E-06,+5.150753691792E+00,+5.080402009189E+00,+5.070351758040E+00,-10.046386868E-03
-2.465000E-06,+4.949748665095E+00,+5.080402009189E+00,+5.080402009189E+00,+3.051758E-06
-2.462500E-06,+4.949748665094E+00,+5.090452260338E+00,+5.070351758040E+00,-20.095825495E-03
-2.460000E-06,+4.949748665094E+00,+5.060301506892E+00,+5.080402009189E+00,+20.101929010E-03
-2.457500E-06,+5.150753691792E+00,+5.080402009189E+00,+5.070351758040E+00,-10.046386868E-03
-2.455000E-06,+5.150753691792E+00,+5.060301506892E+00,+5.060301506892E+00,+3.051758E-06
-2.452500E-06,+4.949748665094E+00,+5.060301506892E+00,+5.070351758041E+00,+10.052490384E-03
-2.450000E-06,+5.150753691792E+00,+5.060301506892E+00,+5.060301506892E+00,+3.051758E-06
-2.447500E-06,+4.949748665094E+00,+5.090452260338E+00,+5.080402009189E+00,-10.046386868E-03
-2.445000E-06,+4.748743638396E+00,+5.060301506892E+00,+5.060301506892E+00,+3.051758E-06
-2.442500E-06,+5.150753691792E+00,+5.070351758041E+00,+5.060301506892E+00,-10.046386868E-03
-2.440000E-06,+4.949748665095E+00,+5.060301506892E+00,+5.080402009189E+00,+20.101929010E-03
-2.437500E-06,+5.050251178444E+00,+5.070351758041E+00,+5.060301506892E+00,-10.046386868E-03
