x-axis,1,2,4,F1
second,Volt,Volt,Volt,Volt
-4.322000E-06,+4.949748665094E+00,-271.356716752E-03,+1.497487485409E+00,+1.759338378906E+00
-4.317000E-06,+4.438117051291E+00,-351.758725941E-03,+1.292834843680E+00,+1.635776909852E+00
-4.312000E-06,+4.625322885085E+00,-351.758725941E-03,+953.008012715E-03,+1.297834948514E+00
-4.307000E-06,+4.995295651461E+00,-450.379529339E-03,+496.225786721E-03,+941.660089442E-03
-4.302000E-06,+5.137243992446E+00,-517.966623958E-03,+44.847440366E-03,+559.997558594E-03
-4.297000E-06,+4.748743638396E+00,-527.384814184E-03,-344.347691009E-03,+182.327072722E-03
-4.292000E-06,+4.748743638396E+00,-592.964753509E-03,-532.788693823E-03,+60.147465391E-03
-4.287000E-06,+5.434360880206E+00,-592.964753509E-03,-753.768771887E-03,-159.606933594E-03
-4.282000E-06,+4.949748665094E+00,-627.510984053E-03,-753.768771887E-03,-125.252315761E-03
-4.277000E-06,+4.547738611698E+00,-592.964753509E-03,-855.902097050E-03,-261.173770225E-03
-4.272000E-06,+4.771034642317E+00,-592.964753509E-03,-834.170781076E-03,-239.562988281E-03
-4.267000E-06,+5.150753691792E+00,-669.468249530E-03,-757.667285054E-03,-87.404658574E-03
-4.262000E-06,+4.832310778637E+00,-592.964753509E-03,-850.884208814E-03,-256.183714004E-03
-4.257000E-06,+4.949748665094E+00,-702.895105007E-03,-965.446457145E-03,-260.789919746E-03
-4.252000E-06,+5.044895547631E+00,-673.366762698E-03,-1.236180827022E+00,-559.387207031E-03
-4.247000E-06,+4.949748665094E+00,-728.524934148E-03,-1.341826673949E+00,-609.594849629E-03
-4.242000E-06,+4.717671329901E+00,-753.768771887E-03,-1.477386854589E+00,-719.299316406E-03
-4.237000E-06,+4.747778659871E+00,-753.768771887E-03,-1.637418890162E+00,-878.443724824E-03
-4.232000E-06,+4.949748665094E+00,-753.768771887E-03,-1.477386854589E+00,-719.299316406E-03
-4.227000E-06,+4.949748665094E+00,-727.752951343E-03,-1.477386854589E+00,-745.170838662E-03
-4.222000E-06,+5.247830531379E+00,-756.509310846E-03,-1.394244306441E+00,-633.892584923E-03
-4.217000E-06,+5.021639565186E+00,-725.012412383E-03,-1.316582836211E+00,-587.984067685E-03
-4.212000E-06,+5.029455891236E+00,-737.827326954E-03,-1.300641391278E+00,-559.387207031E-03
-4.207000E-06,+5.351758718491E+00,-596.091283871E-03,-1.229927766297E+00,-630.015695090E-03
-4.202000E-06,+4.949748665094E+00,-673.366762698E-03,-924.261174474E-03,-249.197635294E-03
-4.197000E-06,+4.748743638396E+00,-570.461454729E-03,-695.870061477E-03,-124.407844708E-03
-4.192000E-06,+4.837039173408E+00,-512.562744319E-03,-432.160735130E-03,+80.261230469E-03
-4.187000E-06,+4.869076460428E+00,-496.698497667E-03,-239.087835484E-03,+256.486985183E-03
-4.182000E-06,+4.949748665094E+00,-532.016711017E-03,-110.552698374E-03,+419.431513339E-03
-4.177000E-06,+4.966346295719E+00,-512.562744319E-03,-30.150689185E-03,+480.041503906E-03
-4.172000E-06,+5.135314035397E+00,-432.160735130E-03,-23.974826741E-03,+406.227056876E-03
-4.167000E-06,+4.949748665094E+00,-493.571967305E-03,+31.260542990E-03,+522.226671502E-03
-4.162000E-06,+4.870234434658E+00,-512.562744319E-03,+147.443955212E-03,+656.651109099E-03
-4.157000E-06,+4.748743638396E+00,-476.781341286E-03,+130.653329194E-03,+604.370673917E-03
-4.152000E-06,+5.007164887315E+00,-432.160735130E-03,+130.653329194E-03,+559.997558594E-03
-4.147000E-06,+4.975127600294E+00,-582.813179617E-03,+130.653329194E-03,+709.814400382E-03
-4.142000E-06,+5.150753691792E+00,-512.562744319E-03,+50.251320004E-03,+559.997558594E-03
-4.137000E-06,+5.112058052951E+00,-463.117245630E-03,-30.150689185E-03,+430.870257601E-03
-4.132000E-06,+5.150753691792E+00,-512.562744319E-03,-219.247877383E-03,+291.993154451E-03
-4.127000E-06,+4.949748665094E+00,-551.856669117E-03,-351.758725941E-03,+199.293263875E-03
-4.122000E-06,+4.748743638396E+00,-727.289761660E-03,-432.160735130E-03,+293.797251701E-03
-4.117000E-06,+4.949748665094E+00,-592.964753509E-03,-526.226839976E-03,+66.672923527E-03
-4.112000E-06,+5.148630739038E+00,-673.366762698E-03,-753.768771887E-03,-79.650878906E-03
-4.107000E-06,+4.748743638396E+00,-741.803038402E-03,-765.734505372E-03,-23.493553891E-03
-4.102000E-06,+4.748743638396E+00,-648.586114642E-03,-858.951429131E-03,-208.893335043E-03
-4.097000E-06,+4.748743638396E+00,-710.962325324E-03,-1.037781246017E+00,-324.701024429E-03
-4.092000E-06,+4.949748665094E+00,-703.358294690E-03,-1.155778817832E+00,-449.605970158E-03
-4.087000E-06,+5.150753691792E+00,-753.768771887E-03,-1.236180827022E+00,-479.431152344E-03
-4.082000E-06,+4.960652922423E+00,-753.768771887E-03,-1.316582836211E+00,-559.387207031E-03
-4.077000E-06,+5.150753691792E+00,-673.366762698E-03,-1.388531633680E+00,-710.892990925E-03
-4.072000E-06,+5.002918981807E+00,-732.500645596E-03,-1.316582836211E+00,-580.537368401E-03
-4.067000E-06,+4.748743638396E+00,-719.685731025E-03,-1.316582836211E+00,-593.281204290E-03
-4.062000E-06,+4.983233419903E+00,-753.768771887E-03,-1.189282871589E+00,-432.793319197E-03
-4.057000E-06,+4.949748665094E+00,-733.079632701E-03,-1.135089678646E+00,-399.475097656E-03
-4.052000E-06,+4.949748665094E+00,-681.240987313E-03,-987.100574839E-03,-303.857943443E-03
-4.047000E-06,+5.150753691792E+00,-597.905443464E-03,-839.111471031E-03,-239.562988281E-03
-4.042000E-06,+4.949748665094E+00,-673.366762698E-03,-610.720358034E-03,+62.604108454E-03
-4.037000E-06,+5.150753691792E+00,-592.964753509E-03,-592.964753509E-03,+305.175781E-06
-4.032000E-06,+5.150753691792E+00,-549.579319841E-03,-512.562744319E-03,+37.116436677E-03
-4.027000E-06,+4.748743638396E+00,-560.966066222E-03,-351.758725941E-03,+208.352135169E-03
-4.022000E-06,+5.150753691792E+00,-592.964753509E-03,-363.145472322E-03,+228.849750726E-03
-4.017000E-06,+5.147183271251E+00,-513.990912510E-03,-271.356716752E-03,+241.593586615E-03
-4.012000E-06,+4.949748665094E+00,-526.805827080E-03,-219.440873085E-03,+305.965311872E-03
