x-axis,1,2,4,F1
second,Volt,Volt,Volt,Volt
-2.500000E-06,+4.883401302766E+00,+5.066543655066E+00,+5.042831343762E+00,-23.709716849E-03
-2.497500E-06,+4.913630574360E+00,+5.033762562452E+00,+5.022298994736E+00,-11.461181967E-03
-2.495000E-06,+5.108746781916E+00,+5.045579459311E+00,+5.048484610033E+00,+2.904052087E-03
-2.492500E-06,+4.964667006920E+00,+5.090216707576E+00,+5.032309987091E+00,-57.904052022E-03
-2.490000E-06,+4.911667634646E+00,+5.050133479363E+00,+5.029483353956E+00,-20.648193480E-03
-2.487500E-06,+4.896749292820E+00,+5.023398240955E+00,+5.031053705698E+00,+7.655028544E-03
-2.485000E-06,+4.914808338188E+00,+5.060811871208E+00,+5.034508479530E+00,-26.300048822E-03
-2.482500E-06,+4.920304569387E+00,+5.080205715221E+00,+5.029130024814E+00,-51.071776784E-03
-2.480000E-06,+4.860631202086E+00,+5.046678705530E+00,+5.043145414111E+00,-3.531494644E-03
-2.477500E-06,+4.953674544522E+00,+5.039298052343E+00,+5.036235866446E+00,-3.060303248E-03
-2.475000E-06,+4.898319644591E+00,+5.068820665092E+00,+5.037099559904E+00,-31.717529170E-03
-2.472500E-06,+4.889290121908E+00,+5.085584169938E+00,+5.037021042317E+00,-48.559569809E-03
-2.470000E-06,+5.015310851537E+00,+5.060183730511E+00,+5.039533605104E+00,-20.648193480E-03
-2.467500E-06,+5.012562735938E+00,+5.050722361266E+00,+5.026617462026E+00,-24.102783246E-03
-2.465000E-06,+4.906171403447E+00,+5.092847046744E+00,+5.030190012239E+00,-62.652587072E-03
-2.462500E-06,+4.989400047314E+00,+5.072864320828E+00,+5.042085426685E+00,-30.776367082E-03
-2.460000E-06,+4.913237986417E+00,+5.054530464240E+00,+5.043695037220E+00,-10.833740574E-03
-2.457500E-06,+4.876727307739E+00,+5.068781406299E+00,+5.037923994569E+00,-30.854492080E-03
-2.455000E-06,+4.898319644592E+00,+5.069684358550E+00,+5.037335112665E+00,-32.344970562E-03
-2.452500E-06,+4.852386855288E+00,+5.070979898737E+00,+5.034861808672E+00,-36.115722431E-03
-2.450000E-06,+4.882616126881E+00,+5.036785489556E+00,+5.030425565001E+00,-6.356201612E-03
-2.447500E-06,+4.897927056649E+00,+5.054687499414E+00,+5.038826946820E+00,-15.856933821E-03
-2.445000E-06,+4.963489243091E+00,+5.086330087015E+00,+5.025635992188E+00,-60.689696491E-03
-2.442500E-06,+4.990185223200E+00,+5.065758479195E+00,+5.038041770949E+00,-27.713623009E-03
-2.440000E-06,+4.881045775110E+00,+5.043145414111E+00,+5.041418027195E+00,-1.724854059E-03
-2.437500E-06,+5.014133087709E+00,+5.062971104853E+00,+5.043969848775E+00,-18.997802892E-03
-2.435000E-06,+4.910882458760E+00,+5.065601444021E+00,+5.056650439092E+00,-8.948974991E-03
-2.432500E-06,+4.824120523408E+00,+5.059398554640E+00,+5.045657976898E+00,-13.739013947E-03
-2.430000E-06,+4.934437735326E+00,+5.052724559737E+00,+5.034901067465E+00,-17.821045106E-03
-2.427500E-06,+4.918734217616E+00,+5.074002825841E+00,+5.041182474433E+00,-32.817382661E-03
-2.425000E-06,+4.895964116935E+00,+5.084759735273E+00,+5.047856469337E+00,-36.900634523E-03
-2.422500E-06,+4.908134343161E+00,+5.057396356169E+00,+5.040201004595E+00,-17.192383010E-03
-2.420000E-06,+4.906956579332E+00,+5.069684358550E+00,+5.037335112665E+00,-32.344970562E-03
-2.417500E-06,+4.913630574360E+00,+5.076829458976E+00,+5.041771356337E+00,-35.054931439E-03
-2.415000E-06,+5.056139997585E+00,+5.063010363647E+00,+5.052410489388E+00,-10.596924173E-03
-2.412500E-06,+4.902638111962E+00,+5.067917712840E+00,+5.030582600175E+00,-37.331542716E-03
-2.410000E-06,+4.908526931104E+00,+5.039376569930E+00,+5.036235866446E+00,-3.138428246E-03
-2.407500E-06,+4.911275046703E+00,+5.063128140027E+00,+5.042595791001E+00,-20.529785279E-03
-2.405000E-06,+4.947000549495E+00,+5.073139132383E+00,+5.041418027195E+00,-31.717529170E-03
-2.402500E-06,+4.940326554468E+00,+5.056257851156E+00,+5.040279522182E+00,-15.975342022E-03
-2.400000E-06,+4.885756830423E+00,+5.062539258124E+00,+5.041260992020E+00,-21.275634872E-03
-2.397500E-06,+5.067525047925E+00,+5.079302762970E+00,+5.042203203066E+00,-37.097167722E-03
-2.395000E-06,+4.866127433284E+00,+5.059241519466E+00,+5.042360238240E+00,-16.878662314E-03
-2.392500E-06,+4.938363614754E+00,+5.076633165008E+00,+5.045540200517E+00,-31.090087778E-03
-2.390000E-06,+5.034155072790E+00,+5.065130338498E+00,+5.057828202898E+00,-7.298584403E-03
-2.387500E-06,+4.824513111351E+00,+5.073688755492E+00,+5.046482411562E+00,-27.203369115E-03
-2.385000E-06,+4.870838488598E+00,+5.088921167389E+00,+5.038826946820E+00,-50.091552197E-03
-2.382500E-06,+4.896356704878E+00,+5.069370288202E+00,+5.049426821079E+00,-19.941406386E-03
-2.380000E-06,+4.854349795001E+00,+5.084524182512E+00,+5.041810615130E+00,-42.711181268E-03
-2.377500E-06,+4.851994267345E+00,+5.069213253028E+00,+5.039690640278E+00,-29.519042891E-03
-2.375000E-06,+4.938363614754E+00,+5.059555589814E+00,+5.039455087517E+00,-20.098877086E-03
-2.372500E-06,+4.962311479263E+00,+5.072864320828E+00,+5.042909861349E+00,-29.951171788E-03
-2.370000E-06,+4.885756830423E+00,+5.061597047079E+00,+5.044166142743E+00,-17.427978708E-03
-2.367500E-06,+4.826868639007E+00,+5.071176192705E+00,+5.053274182847E+00,-17.899170104E-03
-2.365000E-06,+4.932867383555E+00,+5.068349559569E+00,+5.044715765853E+00,-23.631591851E-03
-2.362500E-06,+4.811557709239E+00,+5.062028893808E+00,+5.050643843679E+00,-11.384277671E-03
-2.360000E-06,+4.885756830423E+00,+5.065444408847E+00,+5.047071293466E+00,-18.370361500E-03
-2.357500E-06,+4.882616126881E+00,+5.077182788118E+00,+5.049662373840E+00,-27.517089811E-03
-2.355000E-06,+4.832364870206E+00,+5.067014760589E+00,+5.050447549711E+00,-16.563720915E-03
-2.352500E-06,+4.908919519046E+00,+5.073610237905E+00,+5.051625313517E+00,-21.982421966E-03
-2.350000E-06,+4.939148790640E+00,+5.084445664925E+00,+5.056885991853E+00,-27.557373013E-03
-2.347500E-06,+4.909312106989E+00,+5.074984295679E+00,+5.051154207995E+00,-23.826904346E-03
-2.345000E-06,+4.946215373609E+00,+5.087115262886E+00,+5.057121544614E+00,-29.991454990E-03
-2.342500E-06,+4.898319644591E+00,+5.079813127286E+00,+5.059751883782E+00,-20.058593884E-03
-2.340000E-06,+4.942289494182E+00,+5.082168654899E+00,+5.047699434163E+00,-34.466552546E-03
-2.337500E-06,+4.835898161691E+00,+5.074748742918E+00,+5.051311243169E+00,-23.435058652E-03
-2.335000E-06,+5.005888740910E+00,+5.063324433995E+00,+5.057278579789E+00,-6.043701619E-03
-2.332500E-06,+5.013347911823E+00,+5.078164257957E+00,+5.043498743253E+00,-34.661865042E-03
-2.330000E-06,+4.870053312712E+00,+5.078556845892E+00,+5.044244660330E+00,-34.307861143E-03
-2.327500E-06,+4.928941504128E+00,+5.067485866111E+00,+5.049937185395E+00,-17.545166206E-03
-2.325000E-06,+4.941504318296E+00,+5.078478328305E+00,+5.047620916575E+00,-30.853271377E-03
-2.322500E-06,+4.913237986417E+00,+5.074670225331E+00,+5.051939383866E+00,-22.728271558E-03
-2.320000E-06,+4.930511855899E+00,+5.071568780641E+00,+5.054530464240E+00,-17.034912311E-03
-2.317500E-06,+4.878690247453E+00,+5.079302762970E+00,+5.043459484459E+00,-35.839843531E-03
-2.315000E-06,+4.738928939827E+00,+5.084367147338E+00,+5.044715765853E+00,-39.647216493E-03
-2.312500E-06,+5.024340374221E+00,+5.083581971467E+00,+5.052410489388E+00,-31.168212776E-03
-2.310000E-06,+5.031799545133E+00,+5.089078202564E+00,+5.052646042150E+00,-36.429443127E-03
-2.307500E-06,+4.912845398474E+00,+5.075769471550E+00,+5.059045225498E+00,-16.721191615E-03
-2.305000E-06,+4.799387483014E+00,+5.096929961273E+00,+5.052960112498E+00,-43.966064052E-03
