x-axis,1,2,4,F1
second,Volt,Volt,Volt,Volt
-1.750000E-06,+4.851209091459E+00,-560.223053006E-03,-650.518279843E-03,-89.416503906E-03
-1.747500E-06,+4.687892507267E+00,-726.287752797E-03,-595.555967855E-03,+130.615234375E-03
-1.745000E-06,+4.672974165442E+00,-704.695415945E-03,-641.881345102E-03,+62.561035156E-03
-1.742500E-06,+4.745210346911E+00,-590.059736656E-03,-622.251947963E-03,-31.433105469E-03
-1.740000E-06,+4.748351050454E+00,-564.934108319E-03,-644.236872758E-03,-78.430175781E-03
-1.737500E-06,+4.744817758969E+00,-687.421546463E-03,-664.651445783E-03,+22.888183594E-03
-1.735000E-06,+4.710662607948E+00,-588.489384885E-03,-623.822299734E-03,-34.484863281E-03
-1.732500E-06,+4.692996150523E+00,-604.978078482E-03,-649.733103957E-03,-44.250488281E-03
-1.730000E-06,+4.639996778249E+00,-710.191647144E-03,-607.333606138E-03,+102.844238281E-03
-1.727500E-06,+4.756202809309E+00,-526.853077870E-03,-617.148304707E-03,-89.721679688E-03
-1.725000E-06,+4.738928939827E+00,-634.814762132E-03,-670.147676981E-03,-34.484863281E-03
-1.722500E-06,+4.639211602363E+00,-693.702953547E-03,-708.621295373E-03,-14.648437500E-03
-1.720000E-06,+4.648633712990E+00,-587.704209000E-03,-636.385113903E-03,-47.912597656E-03
-1.717500E-06,+4.720477306517E+00,-668.577325210E-03,-669.755089039E-03,-915.527344E-06
-1.715000E-06,+4.585819642147E+00,-689.777074120E-03,-639.525817445E-03,+50.354003906E-03
-1.712500E-06,+4.597204692487E+00,-641.881345102E-03,-771.435366216E-03,-128.784179687E-03
-1.710000E-06,+4.742069643369E+00,-709.406471258E-03,-726.680340740E-03,-16.784667969E-03
-1.707500E-06,+4.693781326409E+00,-743.954210222E-03,-748.665265535E-03,-4.272460938E-03
-1.705000E-06,+4.691033210809E+00,-633.244410361E-03,-732.961747824E-03,-99.182128906E-03
-1.702500E-06,+4.701633085264E+00,-632.459234475E-03,-685.066018807E-03,-52.185058594E-03
