x-axis,1,2,4,F1
second,Volt,Volt,Volt,Volt
-2.500000E-06,+4.984688992001E+00,+5.065994031957E+00,+5.055629710459E+00,-10.362549179E-03
-2.497500E-06,+4.976052057260E+00,+5.077810928815E+00,+5.054451946653E+00,-23.355712951E-03
-2.495000E-06,+5.159783214476E+00,+5.065679961608E+00,+5.047777951750E+00,-17.899170104E-03
-2.492500E-06,+4.971341001947E+00,+5.076279835866E+00,+5.059398554640E+00,-16.878662314E-03
-2.490000E-06,+4.812735473068E+00,+5.077771670021E+00,+5.062696293298E+00,-15.072021730E-03
-2.487500E-06,+5.091080324491E+00,+5.065876255576E+00,+5.055040828556E+00,-10.833740574E-03
-2.485000E-06,+4.916378689959E+00,+5.084681217686E+00,+5.048641645208E+00,-36.036376730E-03
-2.482500E-06,+4.970163238118E+00,+5.068310300776E+00,+5.050015702982E+00,-18.292236501E-03
-2.480000E-06,+5.118168892543E+00,+5.054059358718E+00,+5.063402951582E+00,+9.344481631E-03
-2.477500E-06,+5.069487987639E+00,+5.069095476647E+00,+5.054962310969E+00,-14.129638938E-03
-2.475000E-06,+5.011384972109E+00,+5.063088881234E+00,+5.060026695337E+00,-3.060303248E-03
-2.472500E-06,+4.986259343772E+00,+5.052881594911E+00,+5.057121544614E+00,+4.240721979E-03
-2.470000E-06,+5.136227937910E+00,+5.062539258124E+00,+5.055158604937E+00,-7.379150808E-03
-2.467500E-06,+4.959955951606E+00,+5.067996230428E+00,+5.052135677834E+00,-15.858154524E-03
-2.465000E-06,+4.976052057260E+00,+5.050918655234E+00,+5.061754082253E+00,+10.836180816E-03
-2.462500E-06,+5.089509972720E+00,+5.060419283272E+00,+5.055001569763E+00,-5.416260227E-03
-2.460000E-06,+4.978407584917E+00,+5.052960112498E+00,+5.046835740704E+00,-6.121826617E-03
-2.457500E-06,+5.008636856510E+00,+5.061400753111E+00,+5.052606783356E+00,-8.792724995E-03
