x-axis,1,2,4,F1
second,Volt,Volt,Volt,Volt
-4.322000E-06,+5.009094844364E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.317000E-06,+4.748743638396E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.312000E-06,+4.903912185170E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.307000E-06,+5.150753691792E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.302000E-06,+4.963258364440E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.297000E-06,+5.132226104118E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.292000E-06,+5.100188817097E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.287000E-06,+5.150753691792E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.282000E-06,+4.949748665094E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.277000E-06,+4.803071929338E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.272000E-06,+5.173044695713E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.267000E-06,+5.150753691792E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.262000E-06,+5.150753691792E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.257000E-06,+4.822564495537E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.252000E-06,+4.854601782558E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.247000E-06,+5.150753691792E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.242000E-06,+5.150753691792E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.237000E-06,+5.150753691792E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.232000E-06,+5.318756452945E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.227000E-06,+5.150753691792E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.222000E-06,+4.748743638396E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.217000E-06,+4.547738611698E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.212000E-06,+4.748743638396E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.207000E-06,+4.756559964446E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.202000E-06,+5.102311769851E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.197000E-06,+5.006006913085E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.192000E-06,+5.150753691792E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.187000E-06,+4.869076460428E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.182000E-06,+4.748743638396E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.177000E-06,+4.748743638396E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.172000E-06,+5.150753691792E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.167000E-06,+5.150753691792E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.162000E-06,+5.150753691792E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.157000E-06,+5.061300182552E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.152000E-06,+4.949748665094E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.147000E-06,+4.924369729895E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.142000E-06,+4.755401990217E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.137000E-06,+5.112058052951E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.132000E-06,+5.150753691792E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.127000E-06,+5.150753691792E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.122000E-06,+5.015946191890E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.117000E-06,+4.915588425320E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.112000E-06,+5.152876644547E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.107000E-06,+4.979662999361E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.102000E-06,+5.212705313080E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.097000E-06,+4.949748665094E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
-4.092000E-06,+5.075774860423E+00,+2.447236208245E+00,+2.447236208245E+00,+122.070313E-06
