x-axis,1,2,4,F1
second,Volt,Volt,Volt,Volt
-1.750000E-06,+4.949748665094E+00,-540.201067925E-03,-741.206094623E-03,-200.500488281E-03
-1.747500E-06,+4.748743638396E+00,-640.703581274E-03,-540.201067925E-03,+100.708007813E-03
-1.745000E-06,+4.949748665094E+00,-339.196041226E-03,-741.206094623E-03,-401.306152344E-03
-1.742500E-06,+4.849246151745E+00,-540.201067925E-03,-741.206094623E-03,-200.500488281E-03
-1.740000E-06,+4.949748665094E+00,-540.201067925E-03,-540.201067925E-03,+305.175781E-06
-1.737500E-06,+4.949748665094E+00,-540.201067925E-03,-640.703581273E-03,-100.097656250E-03
-1.735000E-06,+4.949748665094E+00,-540.201067925E-03,-741.206094623E-03,-200.500488281E-03
-1.732500E-06,+4.949748665094E+00,-640.703581273E-03,-741.206094623E-03,-100.097656250E-03
-1.730000E-06,+4.748743638396E+00,-540.201067925E-03,-741.206094623E-03,-200.500488281E-03
-1.727500E-06,+4.949748665094E+00,-640.703581274E-03,-640.703581273E-03,+305.175781E-06
-1.725000E-06,+4.748743638396E+00,-942.211121321E-03,-741.206094623E-03,+201.110839844E-03
-1.722500E-06,+4.849246151745E+00,-640.703581273E-03,-540.201067925E-03,+100.708007812E-03
-1.720000E-06,+4.748743638396E+00,-741.206094623E-03,-540.201067925E-03,+201.110839844E-03
-1.717500E-06,+4.849246151745E+00,-640.703581273E-03,-540.201067925E-03,+100.708007812E-03
-1.715000E-06,+4.949748665094E+00,-540.201067925E-03,-540.201067925E-03,+305.175781E-06
-1.712500E-06,+5.050251178443E+00,-640.703581273E-03,-540.201067925E-03,+100.708007812E-03
-1.710000E-06,+5.150753691793E+00,-741.206094623E-03,-540.201067925E-03,+201.110839844E-03
-1.707500E-06,+4.849246151745E+00,-640.703581274E-03,-540.201067925E-03,+100.708007813E-03
-1.705000E-06,+5.150753691792E+00,-741.206094623E-03,-540.201067925E-03,+201.110839844E-03
-1.702500E-06,+4.949748665094E+00,-640.703581273E-03,-540.201067925E-03,+100.708007812E-03
-1.700000E-06,+4.949748665094E+00,-741.206094623E-03,-540.201067925E-03,+201.110839844E-03
-1.697500E-06,+4.949748665094E+00,-540.201067925E-03,-540.201067925E-03,+305.175781E-06
-1.695000E-06,+4.949748665094E+00,-540.201067925E-03,-540.201067925E-03,+305.175781E-06
-1.692500E-06,+4.949748665094E+00,-741.206094623E-03,-640.703581273E-03,+100.708007813E-03
-1.690000E-06,+4.949748665094E+00,-540.201067925E-03,-540.201067925E-03,+305.175781E-06
-1.687500E-06,+5.050251178444E+00,-640.703581274E-03,-640.703581273E-03,+305.175782E-06
-1.685000E-06,+4.949748665094E+00,-540.201067925E-03,-741.206094623E-03,-200.500488281E-03
-1.682500E-06,+5.050251178444E+00,-640.703581273E-03,-540.201067925E-03,+100.708007812E-03
-1.680000E-06,+5.150753691792E+00,-540.201067925E-03,-540.201067925E-03,+305.175781E-06
-1.677500E-06,+4.748743638396E+00,-540.201067924E-03,-540.201067925E-03,+305.175781E-06
-1.675000E-06,+5.150753691792E+00,-540.201067925E-03,-540.201067925E-03,+305.175781E-06
-1.672500E-06,+5.050251178443E+00,-540.201067924E-03,-540.201067925E-03,+305.175781E-06
-1.670000E-06,+4.949748665094E+00,-339.196041227E-03,-741.206094622E-03,-401.306152343E-03
-1.667500E-06,+4.748743638396E+00,-540.201067925E-03,-640.703581273E-03,-100.097656250E-03
-1.665000E-06,+5.150753691792E+00,-540.201067925E-03,-741.206094622E-03,-200.500488281E-03
-1.662500E-06,+4.949748665094E+00,-540.201067925E-03,-741.206094623E-03,-200.500488281E-03
-1.660000E-06,+4.949748665094E+00,-741.206094623E-03,-741.206094623E-03,+305.175781E-06
-1.657500E-06,+5.050251178443E+00,-439.698554576E-03,-741.206094623E-03,-300.903320312E-03
-1.655000E-06,+4.949748665094E+00,-540.201067925E-03,-741.206094622E-03,-200.500488281E-03
-1.652500E-06,+4.748743638396E+00,-741.206094623E-03,-640.703581273E-03,+100.708007813E-03
-1.650000E-06,+5.150753691792E+00,-540.201067925E-03,-540.201067925E-03,+305.175781E-06
-1.647500E-06,+4.849246151745E+00,-640.703581274E-03,-640.703581273E-03,+305.175782E-06
-1.645000E-06,+4.949748665094E+00,-540.201067925E-03,-540.201067925E-03,+305.175781E-06
-1.642500E-06,+4.849246151745E+00,+464.824065566E-03,-339.196041226E-03,-802.917480469E-03
-1.640000E-06,+5.150753691792E+00,+1.268844172358E+00,-138.191014529E-03,-1.405334472656E+00
-1.637500E-06,+4.849246151746E+00,+1.871859252452E+00,+163.316525519E-03,-1.706542968750E+00
-1.635000E-06,+4.949748665094E+00,+2.675879359245E+00,+464.824065566E-03,-2.208557128906E+00
-1.632500E-06,+5.150753691792E+00,+4.484924599527E+00,+1.469849199056E+00,-3.011779785156E+00
