x-axis,1,2,4,F1
second,Volt,Volt,Volt,Volt
-5.000000E-06,+4.738928939827E+00,+5.063544216344E+00,+5.028164286898E+00,-35.330812551E-03
-4.995000E-06,+4.745210346911E+00,+5.067411207508E+00,+5.034700876024E+00,-32.659914173E-03
-4.990000E-06,+4.749136226339E+00,+5.060953135970E+00,+5.032482754188E+00,-28.420412315E-03
-4.985000E-06,+4.735984530256E+00,+5.058617237753E+00,+5.036271227766E+00,-22.296755225E-03
-4.980000E-06,+4.749136226339E+00,+5.055849492808E+00,+5.030441296924E+00,-25.357668243E-03
-4.975000E-06,+4.796639367414E+00,+5.061620535460E+00,+5.034269029295E+00,-27.301637926E-03
-4.970000E-06,+4.764054568164E+00,+5.054357658653E+00,+5.033032377298E+00,-21.274416381E-03
-4.965000E-06,+4.756791691223E+00,+5.046800340895E+00,+5.025906906269E+00,-20.842897836E-03
-4.960000E-06,+4.775832206447E+00,+5.049332533079E+00,+5.020548080949E+00,-28.734133011E-03
-4.955000E-06,+4.811950297182E+00,+5.052119907421E+00,+5.022157691485E+00,-29.912111500E-03
-4.950000E-06,+4.742462231312E+00,+5.040381528150E+00,+5.017211083497E+00,-23.120119465E-03
-4.945000E-06,+4.668851992043E+00,+5.045602947692E+00,+5.011793369988E+00,-33.759767664E-03
-4.940000E-06,+4.703596024978E+00,+5.044150372330E+00,+5.005001598704E+00,-39.097902311E-03
-4.935000E-06,+4.793891251815E+00,+5.046309605976E+00,+4.999328703036E+00,-46.929933386E-03
-4.930000E-06,+4.758558336966E+00,+5.045485171311E+00,+5.009084513233E+00,-36.351320341E-03
-4.925000E-06,+4.756202809309E+00,+5.043424084650E+00,+5.015660361152E+00,-27.713625221E-03
-4.920000E-06,+4.702025673207E+00,+5.044857030614E+00,+5.010497829800E+00,-34.307863355E-03
-4.915000E-06,+4.708503374262E+00,+5.042108915066E+00,+5.012990763191E+00,-29.067995308E-03
-4.910000E-06,+4.751099166053E+00,+5.044032595950E+00,+5.011204488084E+00,-32.778322374E-03
-4.905000E-06,+4.733040120685E+00,+5.045014065789E+00,+5.009418212978E+00,-35.545656296E-03
-4.900000E-06,+4.711447783833E+00,+5.041873362305E+00,+5.006179362510E+00,-35.643312544E-03
-4.895000E-06,+4.664926112615E+00,+5.035827508098E+00,+5.011557817226E+00,-24.219362604E-03
-4.890000E-06,+4.736180824228E+00,+5.041480774369E+00,+5.005943809749E+00,-35.485841845E-03
-4.885000E-06,+4.792713487986E+00,+5.038006371140E+00,+5.006454174065E+00,-31.501466934E-03
-4.880000E-06,+4.755417633423E+00,+5.040460045737E+00,+5.002174965568E+00,-38.233644517E-03
-4.875000E-06,+4.717532896946E+00,+5.032686804614E+00,+5.005139004481E+00,-27.498171125E-03
-4.870000E-06,+4.725580949773E+00,+5.033275686517E+00,+5.000212025891E+00,-33.012697369E-03
-4.865000E-06,+4.768373035535E+00,+5.035042332227E+00,+4.996698363868E+00,-38.292848618E-03
-4.860000E-06,+4.748351050454E+00,+5.023421729336E+00,+4.990554362677E+00,-32.816164170E-03
-4.855000E-06,+4.798798601099E+00,+5.027799084817E+00,+4.990436586297E+00,-37.312624030E-03
-4.850000E-06,+4.784861729131E+00,+5.026915761962E+00,+4.994480242032E+00,-32.385255976E-03
-4.845000E-06,+4.769158211420E+00,+5.024619122540E+00,+4.995049494539E+00,-29.519655454E-03
-4.840000E-06,+4.749921402225E+00,+5.022008412769E+00,+4.989141046110E+00,-32.816164170E-03
-4.835000E-06,+4.766998977735E+00,+5.020948425343E+00,+4.987472547384E+00,-33.426515719E-03
-4.830000E-06,+4.770728563191E+00,+5.022950623814E+00,+4.988159576271E+00,-34.741212955E-03
-4.825000E-06,+4.720281012545E+00,+5.021537307246E+00,+4.998975373894E+00,-22.511598970E-03
-4.820000E-06,+4.722440246231E+00,+5.013685548536E+00,+4.992124714419E+00,-21.510012079E-03
-4.815000E-06,+4.704773788806E+00,+5.019849179123E+00,+4.992968778481E+00,-26.829836179E-03
-4.810000E-06,+4.729899417143E+00,+5.017572169098E+00,+4.990829174232E+00,-26.691896729E-03
-4.805000E-06,+4.692014680666E+00,+5.012468525936E+00,+4.990750656645E+00,-21.666872427E-03
-4.800000E-06,+4.752276929881E+00,+5.019417332394E+00,+4.989298081284E+00,-30.069582200E-03
-4.795000E-06,+4.678274102669E+00,+5.015550341230E+00,+4.982898897935E+00,-32.600710073E-03
-4.790000E-06,+4.746780698682E+00,+5.012350749555E+00,+4.983212968284E+00,-29.086916206E-03
