x-axis,1,2,4,F1
second,Volt,Volt,Volt,Volt
-1.750000E-06,+4.547738611698E+00,-678.392082453E-03,-678.392082453E-03,+305.175781E-06
-1.747500E-06,+4.748743638396E+00,-477.387055755E-03,-577.889569104E-03,-100.097656250E-03
-1.745000E-06,+4.748743638396E+00,-678.392082453E-03,-477.387055755E-03,+201.110839844E-03
-1.742500E-06,+4.748743638396E+00,-477.387055755E-03,-678.392082453E-03,-200.500488281E-03
-1.740000E-06,+4.748743638396E+00,-477.387055755E-03,-477.387055755E-03,+305.175781E-06
-1.737500E-06,+4.748743638396E+00,-678.392082453E-03,-577.889569104E-03,+100.708007812E-03
-1.735000E-06,+4.748743638396E+00,-477.387055755E-03,-678.392082453E-03,-200.500488281E-03
-1.732500E-06,+4.849246151745E+00,-577.889569104E-03,-577.889569104E-03,+305.175781E-06
-1.730000E-06,+4.748743638396E+00,-477.387055755E-03,-678.392082453E-03,-200.500488281E-03
-1.727500E-06,+4.648241125047E+00,-477.387055755E-03,-477.387055755E-03,+305.175781E-06
-1.725000E-06,+4.748743638396E+00,-477.387055755E-03,-678.392082453E-03,-200.500488281E-03
-1.722500E-06,+4.748743638396E+00,-577.889569104E-03,-477.387055755E-03,+100.708007813E-03
-1.720000E-06,+4.748743638396E+00,-477.387055755E-03,-477.387055755E-03,+305.175781E-06
-1.717500E-06,+4.748743638396E+00,-477.387055755E-03,-678.392082453E-03,-200.500488281E-03
-1.715000E-06,+4.748743638396E+00,-678.392082453E-03,-678.392082453E-03,+305.175781E-06
-1.712500E-06,+4.648241125047E+00,-678.392082453E-03,-477.387055755E-03,+201.110839844E-03
-1.710000E-06,+4.748743638396E+00,-477.387055755E-03,-678.392082453E-03,-200.500488281E-03
-1.707500E-06,+4.648241125047E+00,-477.387055755E-03,-577.889569104E-03,-100.097656250E-03
-1.705000E-06,+4.748743638396E+00,-678.392082453E-03,-678.392082453E-03,+305.175781E-06
-1.702500E-06,+4.949748665094E+00,-477.387055754E-03,-678.392082453E-03,-200.500488281E-03
-1.700000E-06,+4.748743638396E+00,-276.382029057E-03,-477.387055755E-03,-200.500488281E-03
-1.697500E-06,+4.849246151745E+00,-577.889569104E-03,-577.889569104E-03,+305.175781E-06
-1.695000E-06,+4.949748665094E+00,-477.387055755E-03,-678.392082453E-03,-200.500488281E-03
-1.692500E-06,+4.849246151746E+00,-577.889569104E-03,-577.889569104E-03,+305.175781E-06
-1.690000E-06,+4.748743638396E+00,-678.392082453E-03,-678.392082453E-03,+305.175781E-06
-1.687500E-06,+4.748743638396E+00,-577.889569104E-03,-577.889569104E-03,+305.175782E-06
-1.685000E-06,+4.748743638396E+00,-477.387055755E-03,-879.397109151E-03,-401.306152343E-03
-1.682500E-06,+4.748743638396E+00,-477.387055755E-03,-577.889569104E-03,-100.097656250E-03
-1.680000E-06,+4.748743638396E+00,-678.392082453E-03,-678.392082453E-03,+305.175781E-06
-1.677500E-06,+4.648241125047E+00,-376.884542405E-03,-879.397109151E-03,-501.708984375E-03
-1.675000E-06,+4.748743638396E+00,-477.387055755E-03,-879.397109151E-03,-401.306152344E-03
-1.672500E-06,+4.849246151745E+00,-678.392082453E-03,-678.392082453E-03,+305.175781E-06
-1.670000E-06,+4.748743638396E+00,-678.392082453E-03,-678.392082453E-03,+305.175781E-06
-1.667500E-06,+4.748743638396E+00,-577.889569104E-03,-678.392082453E-03,-100.097656250E-03
-1.665000E-06,+4.547738611698E+00,-678.392082453E-03,-678.392082453E-03,+305.175781E-06
-1.662500E-06,+4.849246151745E+00,-577.889569104E-03,-678.392082453E-03,-100.097656250E-03
-1.660000E-06,+4.748743638396E+00,-477.387055755E-03,-678.392082453E-03,-200.500488281E-03
-1.657500E-06,+4.748743638396E+00,-577.889569104E-03,-778.894595802E-03,-200.500488281E-03
-1.655000E-06,+4.748743638396E+00,-276.382029057E-03,-477.387055755E-03,-200.500488281E-03
-1.652500E-06,+4.748743638396E+00,+326.633051037E-03,-376.884542406E-03,-702.514648437E-03
-1.650000E-06,+4.949748665094E+00,+1.331658184528E+00,-75.377002358E-03,-1.405334472656E+00
-1.647500E-06,+4.748743638396E+00,+1.934673264622E+00,+226.130537689E-03,-1.706542968750E+00
-1.645000E-06,+4.748743638396E+00,+2.939698398113E+00,+527.638077736E-03,-2.409362792968E+00
-1.642500E-06,+4.748743638396E+00,+3.341708451509E+00,+1.030150644480E+00,-2.308959960938E+00
-1.640000E-06,+4.949748665094E+00,+4.748743638395E+00,+2.336683318018E+00,-2.409362792969E+00
-1.637500E-06,+4.748743638397E+00,+8.065326578913E+00,+4.045226044952E+00,-4.015808105468E+00
-1.635000E-06,+4.748743638396E+00,+10.979899466036E+00,+4.949748665094E+00,-6.023864746092E+00
-1.632500E-06,+4.648241125047E+00,+12.286432139575E+00,+6.155778825283E+00,-6.124267578125E+00
-1.630000E-06,+4.145728558302E+00,+13.592964813112E+00,+7.763819038867E+00,-5.823059082032E+00
-1.627500E-06,+4.949748665093E+00,+16.005025133490E+00,+10.075376845895E+00,-5.923461914062E+00
-1.625000E-06,+6.155778825283E+00,+17.010050266981E+00,+11.582914546131E+00,-5.421447753907E+00
-1.622500E-06,+4.145728558304E+00,+17.512562833727E+00,+12.989949733018E+00,-4.517822265626E+00
-1.620000E-06,+2.135678291322E+00,+18.216080427169E+00,+14.798994973301E+00,-3.413391113282E+00
-1.617500E-06,+3.442210964858E+00,+20.025125667452E+00,+16.507537700235E+00,-3.513793945313E+00
-1.615000E-06,+4.346733585000E+00,+20.829145774245E+00,+17.814070373773E+00,-3.011779785157E+00
-1.612500E-06,+3.241205938161E+00,+20.829145774245E+00,+19.321608074009E+00,-1.505737304688E+00
-1.610000E-06,+3.341708451509E+00,+21.432160854339E+00,+20.427135720848E+00,-1.003723144532E+00
-1.607500E-06,+4.145728558302E+00,+22.437185987830E+00,+21.532663367688E+00,-903.320312500E-03
